"","titulo","relator","data_de_publicacao","data_de_julgamento","orgao_julgador","ementa","base"
"1","RE 843455","TEORI ZAVASCKI","01/02/2016","07/10/2015","Tribunal Pleno","Ementa: CONSTITUCIONAL. ELEITORAL. RECURSO EXTRAORDINÁRIO. REPERCUSSÃO GERAL. PREFEITO AFASTADO POR DECISÃO DO TRE. ELEIÇÃO SUPLEMENTAR. PRAZO DE INELEGIBILIDADE. ART. 14, § 7º, DA CONSTITUIÇÃO FEDERAL. APLICAÇÃO.    1. As hipóteses de inelegibilidade previstas no art. 14, § 7º, da Constituição Federal, inclusive quanto ao prazo de seis meses, são aplicáveis às eleições suplementares. Eleição suplementar marcada para menos de seis meses do afastamento do prefeito por irregularidades.     2. Recurso improvido.","eleicao"
"2","RE 1096029","DIAS TOFFOLI","18/05/2020","04/03/2020","Tribunal Pleno","EMENTA    Recurso extraordinário. Repercussão geral. Reafirmação de jurisprudência. Sistema eleitoral. Nulidades da votação. Sistema majoritário. Realização de novas eleições independentemente do número de votos anulados no caso de decisão da justiça eleitoral que importe o indeferimento do registro do candidato. Código Eleitoral, art. 224, § 3º, incluído pela Lei nº 13.165/2015. CF/88. Constitucional.     1. Aplica-se ao caso a tese fixada na ADI nº 5.525, na qual se decidiu que “não se afigura inconstitucional a inclusão da hipótese de ‘indeferimento do registro’ como causa de realização de nova eleição, feita no art. 224, § 3º, do Código Eleitoral. A escolha das causas eleitorais de extinção do mandato e a adoção de medidas para assegurar a legitimidade da investidura de candidato em cargo eletivo são matérias de ponderação legislativa, só sendo passíveis de controle judicial quando se mostrarem desproporcionais ou desvestidas de finalidade legítima” (Relator Ministro Roberto Barroso, DJe 29/11/19).    2. Recurso extraordinário ao qual se nega provimento, para se reafirmar o entendimento fixado por esta Corte na ADI nº 5.525 e se declarar a constitucionalidade da expressão “indeferimento do registro” constante do § 3º do art. 224 do Código Eleitoral, acrescido pela Lei nº 13.165/15.","eleicao"
"3","ADI 5619","ROBERTO BARROSO","07/08/2018","08/03/2018","Tribunal Pleno","Ementa: Direito constitucional e eleitoral. Ação direta de inconstitucionalidade. Previsão, por lei federal, de hipóteses de vacância de cargos majoritários por causas eleitorais, com realização de novas eleições. Aplicabilidade da norma às eleições para Prefeitos de Municípios com menos de duzentos mil eleitores e para o cargo de Senador da República.    1. O legislador ordinário federal pode prever hipóteses de vacância de cargos eletivos fora das situações expressamente contempladas na Constituição, com vistas a assegurar a higidez do processo eleitoral e a preservar o princípio majoritário.     2. Diferentemente do que ocorre com o Presidente e Senadores, a Constituição não estabelece expressamente uma única solução para hipótese de dupla vacância nos cargos de Governador e Prefeito. Assim, tratando-se de causas eleitorais de extinção do mandato, a competência para legislar a respeito pertence à União, por força do disposto no art. 22, I, da Constituição Federal, e não aos entes da Federação, aos quais compete dispor sobre a solução de vacância por causas não eleitorais de extinção de mandato.     3. Não ofende os princípios da soberania popular, da proporcionalidade, da economicidade e a legitimidade e normalidade dos pleitos eleitorais a aplicação de dispositivo que determina a realização de novas eleições no caso de decisão da Justiça Eleitoral que importe o indeferimento do registo, a cassação do diploma ou a perda do mandato de candidatos eleitos, independentemente do número de votos anulados, para cargos majoritários simples – Senador da República e Prefeito de Municípios com menos de duzentos mil eleitores.    4. Ação direta de inconstitucionalidade cujo pedido se julga improcedente. Fixação da seguinte tese: “É constitucional legislação federal que estabeleça novas eleições para os cargos majoritários simples – isto é, Prefeitos de Municípios com menos de duzentos mil eleitores e Senadores da República – em casos de vacância por causas eleitorais”.","eleicao"
"4","RE 633703","GILMAR MENDES","18/11/2011","23/03/2011","Tribunal Pleno","LEI COMPLEMENTAR 135/2010, DENOMINADA LEI DA FICHA LIMPA. INAPLICABILIDADE ÀS ELEIÇÕES GERAIS 2010. PRINCÍPIO DA ANTERIORIDADE ELEITORAL (ART. 16 DA CONSTITUIÇÃO DA REPÚBLICA).     I. O PRINCÍPIO DA ANTERIORIDADE ELEITORAL COMO GARANTIA DO DEVIDO PROCESSO LEGAL ELEITORAL. O pleno exercício de direitos políticos por seus titulares (eleitores, candidatos e partidos) é assegurado pela Constituição por meio de um sistema de normas que conformam o que se poderia denominar de devido processo legal eleitoral. Na medida em que estabelecem as garantias fundamentais para a efetividade dos direitos políticos, essas regras também compõem o rol das normas denominadas cláusulas pétreas e, por isso, estão imunes a qualquer reforma que vise a aboli-las. O art. 16 da Constituição, ao submeter a alteração legal do processo eleitoral à regra da anualidade, constitui uma garantia fundamental para o pleno exercício de direitos políticos. Precedente: ADI 3.685, Rel. Min. Ellen Gracie, julg. em 22.3.2006. A LC 135/2010 interferiu numa fase específica do processo eleitoral, qualificada na jurisprudência como a fase pré-eleitoral, que se inicia com a escolha e a apresentação das candidaturas pelos partidos políticos e vai até o registro das candidaturas na Justiça Eleitoral. Essa fase não pode ser delimitada temporalmente entre os dias 10 e 30 de junho, no qual ocorrem as convenções partidárias, pois o processo político de escolha de candidaturas é muito mais complexo e tem início com a própria filiação partidária do candidato, em outubro do ano anterior. A fase pré-eleitoral de que trata a jurisprudência desta Corte não coincide com as datas de realização das convenções partidárias. Ela começa muito antes, com a própria filiação partidária e a fixação de domicílio eleitoral dos candidatos, assim como o registro dos partidos no Tribunal Superior Eleitoral. A competição eleitoral se inicia exatamente um ano antes da data das eleições e, nesse interregno, o art. 16 da Constituição exige que qualquer modificação nas regras do jogo não terá eficácia imediata para o pleito em curso.     II. O PRINCÍPIO DA ANTERIORIDADE ELEITORAL COMO GARANTIA CONSTITUCIONAL DA IGUALDADE DE CHANCES. Toda limitação legal ao direito de sufrágio passivo, isto é, qualquer restrição legal à elegibilidade do cidadão constitui uma limitação da igualdade de oportunidades na competição eleitoral. Não há como conceber causa de inelegibilidade que não restrinja a liberdade de acesso aos cargos públicos, por parte dos candidatos, assim como a liberdade para escolher e apresentar candidaturas por parte dos partidos políticos. E um dos fundamentos teleológicos do art. 16 da Constituição é impedir alterações no sistema eleitoral que venham a atingir a igualdade de participação no prélio eleitoral.     III. O PRINCÍPIO DA ANTERIORIDADE ELEITORAL COMO GARANTIA CONSTITUCIONAL DAS MINORIAS E O PAPEL DA JURISDIÇÃO CONSTITUCIONAL NA DEMOCRACIA. O princípio da anterioridade eleitoral constitui uma garantia fundamental também destinada a assegurar o próprio exercício do direito de minoria parlamentar em situações nas quais, por razões de conveniência da maioria, o Poder Legislativo pretenda modificar, a qualquer tempo, as regras e critérios que regerão o processo eleitoral. A aplicação do princípio da anterioridade não depende de considerações sobre a moralidade da legislação. O art. 16 é uma barreira objetiva contra abusos e desvios da maioria, e dessa forma deve ser aplicado por esta Corte. A proteção das minorias parlamentares exige reflexão acerca do papel da Jurisdição Constitucional nessa tarefa. A Jurisdição Constitucional cumpre a sua função quando aplica rigorosamente, sem subterfúgios calcados em considerações subjetivas de moralidade, o princípio da anterioridade eleitoral previsto no art. 16 da Constituição, pois essa norma constitui uma garantia da minoria, portanto, uma barreira contra a atuação sempre ameaçadora da maioria.     IV. RECURSO EXTRAORDINÁRIO CONHECIDO E PROVIDO. Recurso extraordinário conhecido para: a) reconhecer a repercussão geral da questão constitucional atinente à aplicabilidade da LC 135/2010 às eleições de 2010, em face do princípio da anterioridade eleitoral (art. 16 da Constituição), de modo a permitir aos Tribunais e Turmas Recursais do país a adoção dos procedimentos relacionados ao exercício de retratação ou declaração de inadmissibilidade dos recursos repetitivos, sempre que as decisões recorridas contrariarem ou se pautarem pela orientação ora firmada. b) dar provimento ao recurso, fixando a não aplicabilidade da Lei Complementar n° 135/2010 às eleições gerais de 2010.","eleicao"
"5","RE 843455 RG","TEORI ZAVASCKI","04/12/2014","20/11/2014","Tribunal Pleno","Ementa: DIREITO ELEITORAL. REGISTRO DE CANDIDATURA. ELEIÇÃO SUPLEMENTAR PARA PREFEITO MUNICIPAL. CANDIDATA CASADA COM O ANTERIOR OCUPANTE DO CARGO. OBSERVÂNCIA DO PRAZO DE DESINCOMPATIBILIZAÇÃO DE SEIS MESES (ART. 14, § 7º, DA CONSTITUIÇÃO FEDERAL). REPERCUSSÃO GERAL CONFIGURADA.    1. Possui repercussão geral a questão relativa à observância, em eleição suplementar, do prazo de desincompatibilização de seis meses previsto no art. 14, § 7º, da CF/88.    2. Repercussão geral reconhecida.","eleicao"
"6","ARE 728188","RICARDO LEWANDOWSKI","12/08/2014","18/12/2013","Tribunal Pleno","Ementa: RECURSO EXTRORDINÁRIO. MATÉRIA ELEITORAL. LEGITIMIDADE DO MINISTÉRIO PÚBLICO PARA RECORRER DE DECISÃO QUE DEFERE REGISTRO DE CANDIDATURA, AINDA QUE NÃO HAJA APRESENTADO IMPUGNAÇÃO AO PEDIDO INICIAL. SEGURANÇA JURÍDICA. RECURSO A QUE SE NEGA PROVIMENTO. REPERCUSSÃO GERAL. FIXAÇÃO DA TESE A PARTIR DAS ELEIÇÕES DE 2014, INCLUSIVE.    I - O Ministério Público Eleitoral possui legitimidade para recorrer de decisão que julga o pedido de registro de candidatura, mesmo que não haja apresentado impugnação anterior.     II – Entendimento que deflui diretamente do disposto no art. 127 da Constituição Federal.    III – Recurso extraordinário a que se nega provimento por razões de segurança jurídica.    IV – Fixação da tese com repercussão geral a fim de assentar que a partir das eleições de 2014, inclusive, o Ministério Público Eleitoral tem legitimidade para recorrer da decisão que julga o pedido de registro de candidatura, ainda que não tenha apresentado impugnação.","eleicao"
"7","ADI 5525","ROBERTO BARROSO","29/11/2019","08/03/2018","Tribunal Pleno","Ementa: Direito constitucional e eleitoral. Ação direta de inconstitucionalidade. Previsão, por lei federal, de hipóteses de vacância de cargos majoritários por causas eleitorais, com realização de novas eleições. Inconstitucionalidade parcial.    1. O legislador ordinário federal pode prever hipóteses de vacância de cargos eletivos fora das situações expressamente contempladas na Constituição, com vistas a assegurar a higidez do processo eleitoral e a preservar o princípio majoritário.    2. Não pode, todavia, disciplinar o modo de eleição para o cargo vago diferentemente do que estabelece a Constituição Federal. Inconstitucionalidade do § 4º do art. 224 do Código Eleitoral, na redação dada pela Lei nº 13.165/2015, na parte em que incide sobre a eleição para Presidente, Vice-Presidente e Senador da República, em caso de vacância, por estar em contraste com os arts. 81, § 1º e 56, § 2º do texto constitucional, respectivamente.     3. É constitucional, por outro lado, o tratamento dado pela lei impugnada à hipótese de dupla vacância dos cargos de Governador e Prefeito. É que, para esses casos, a Constituição não prevê solução única. Assim, tratando-se de causas eleitorais de extinção do mandato, a competência para legislar a respeito pertence à União, por força do disposto no art. 22, I, da Constituição Federal, e não aos entes da Federação, aos quais compete dispor sobre a solução de vacância por causas não eleitorais de extinção de mandato, na linha da jurisprudência do STF.     4. No tocante à exigência de trânsito em julgado da decisão que implica na vacância do cargo, prevista no art. 224, § 3º do Código Eleitoral, seus efeitos práticos conflitam com o princípio democrático e a soberania popular. Isto porque, pelas regras eleitorais que institui, pode ocorrer de a chefia do Poder Executivo ser exercida, por longo prazo, por alguém que sequer tenha concorrido ao cargo. Dessa forma, a decisão de última ou única instância da Justiça Eleitoral que importe o indeferimento do registro, a cassação do diploma ou a perda do mandato de candidato eleito em pleito majoritário, em regra, será executada imediatamente, independentemente do julgamento dos embargos de declaração.     5. Não se afigura inconstitucional a inclusão da hipótese de “indeferimento do registro” como causa de realização de nova eleição, feita no art. 224, § 3º, do Código Eleitoral. A escolha das causas eleitorais de extinção do mandato e a adoção de medidas para assegurar a legitimidade da investidura de candidato em cargo eletivo são matérias de ponderação legislativa, só sendo passíveis de controle judicial quando se mostrarem desproporcionais ou desvestidas de finalidade legítima.    6. Ação direta de inconstitucionalidade cujo pedido se julga parcialmente procedente, para declarar a inconstitucionalidade da locução “após o trânsito em julgado” prevista no § 3º do art. 224 do Código Eleitoral, e para conferir interpretação conforme à Constituição ao § 4º do mesmo artigo, de modo a afastar do seu âmbito de incidência as situações de vacância nos cargos de Presidente e Vice-Presidente da República, bem como no de Senador da República. Fixação da seguinte tese: “O legislador federal pode estabelecer causas eleitorais de vacância de cargos eletivos visando a higidez do processo eleitoral e a legitimidade da investidura no cargo. Não pode, todavia, prever solução diversa da que foi instituída expressamente pela Constituição para a realização de eleições nessas hipóteses. Por assim ser, é inconstitucional a aplicação do art. 224, § 4º aos casos de vacância dos cargos de Presidente, Vice-Presidente e Senador da República”.","eleicao"
"8","ADPF 167","LUIZ FUX","14/10/2020","07/03/2018","Tribunal Pleno","Ementa: ARGUIÇÃO DE DESCUMPRIMENTO DE PRECEITO FUNDAMENTAL. CABIMENTO EM FACE DE ORIENTAÇÃO JURISPRUDENCIAL, DESDE QUE ATENDIDO O TESTE DA SUBSIDIARIEDADE. DIREITOS E GARANTIAS FUNDAMENTAIS DO ART. 5º DA CRFB. CARÁTER DE PRECEITOS FUNDAMENTAIS. COMPETÊNCIA PARA JULGAMENTO DE RECURSO CONTRA A EXPEDIÇÃO DE DIPLOMA (RCED) NAS ELEIÇÕES FEDERAIS E ESTADUAIS. ART. 121, § 4º, DA CRFB. ARTIGOS 216 E 22, INCISO I, ALÍNEA “G”, DO CÓDIGO ELEITORAL. ADEQUAÇÃO AO SISTEMA CONSTITUCIONAL. APRECIAÇÃO DO RCED PELO ÓRGÃO JURISDICIONAL HIERARQUICAMENTE SUPERIOR. INOCORRÊNCIA DE VIOLAÇÃO AOS PRINCÍPIOS DO JUIZ NATURAL, DEVIDO PROCESSO LEGAL E CONTRADITÓRIO (ART. 5º, LIII, LIV E LV, DA CRFB). DUPLO GRAU DE JURISDIÇÃO: FIGURA NÃO CONTEMPLADA COMO GARANTIA PELA CARTA MAGNA. RESPEITO AOS PRECEDENTES COMO IMPERATIVO DA SEGURANÇA JURÍDICA (ART. 5º, CAPUT, CRFB). ADPF JULGADA IMPROCEDENTE.    1. O Tribunal Superior Eleitoral é o órgão competente para julgar os Recursos Contra a Expedição de Diploma (RCED) nas eleições presidenciais e gerais (federais e estaduais).    2. O Recurso Contra a Expedição de Diploma (RCED) é demanda por meio da qual se objetiva a cassação ou denegação do diploma do eleito ante a alegação de inelegibilidade de cunho infraconstitucional superveniente ao requerimento de registro da candidatura, inelegibilidade de natureza constitucional ou ausência de condições de elegibilidade, ex vi do art. 262 do Código Eleitoral, na redação conferida pela Lei nº 12.891/2013.    3. O art. 121, § 4º, III, da Constituição, ao determinar que caberá recurso das decisões dos Tribunais Regionais Eleitorais que versarem sobre “expedição de diplomas nas eleições federais ou estaduais”, atribui ao Tribunal Superior Eleitoral a competência para a revisão jurisdicional da atividade de diplomação exercida pelos Tribunais Regionais Eleitorais nas eleições federais ou estaduais.    4. O Código Eleitoral, adequado ao sistema constitucional, consagra a apreciação do Recurso Contra a Expedição de Diploma (RCED) pelo órgão jurisdicional hierarquicamente superior àquele que concedeu a diplomação, estabelecendo o seu art. 216 que o “recurso interposto contra a expedição do diploma” deve ser decidido pelo “Tribunal Superior”, enquanto o art. 22, I, g, do mesmo Código atribui originariamente ao Tribunal Superior Eleitoral a competência para julgar as impugnações à diplomação do Presidente e Vice-Presidente da República.    5. A fase probatória inserida no rito do RCED não impede o seu reconhecimento como “recurso” nos moldes do art. 121, § 4º, da Carta Magna, sendo legítima a interpretação do termo em sua concepção ampla, além do que a possibilidade de produção probatória no rito recursal em sentido estrito é expressamente reconhecida pelo art. 938, § 3º, do novo Código de Processo Civil.    6. A diplomação constitui ato decisório do Tribunal Regional Eleitoral, de natureza administrativa, que encerra o processo eleitoral e atesta a aptidão do candidato a ser empossado no cargo, motivo pelo qual se enquadra no conceito de “decisões dos Tribunais Regionais Eleitorais” a que alude o art. 121, § 4º, da Constituição.    7. O Recurso Contra a Expedição de Diploma (RCED), por suas causae petendi, não se confunde com as da Ação de Investigação Judicial Eleitoral (AIJE), que tem por fundamento o abuso de poder econômico ou político (artigos 1º, I, d e h, 19 e 22, XIV, da Lei Complementar nº 64/90), a captação ou uso ilícito de recurso para fins eleitorais (art. 30-A da Lei 9.504/1997 e art. 1º, I, j, da LC nº 64/90), a captação ilícita de sufrágio (art. 41-A da Lei nº 9504/1997 e art. 1º, I, j, da LC nº 64/90) ou a prática de conduta vedada (artigos 73, 74, 75 e 77 da Lei nº 9.504/1997 e art. 1º, I, j, da LC nº 64/90), nem com as causas de pedir próprias da Ação de Impugnação de Mandato Eletivo, regida diretamente pelo art. 14, § 10, da Constituição, que tem escopo limitado à cognição de questões relativas a abuso do poder econômico, corrupção ou fraude.    8. O princípio do juiz natural não resta violado nas hipóteses de concorrência de diversas vias processuais para conhecer da mesma matéria, (art. 5º, LIII, da CRFB), maxime quando a própria Carta Magna acolhe ambos os ritos possíveis (art. 14, § 10, e art. 121, § 4º, da CRFB).    9. O devido processo legal (art. 5º, LIV, CRFB) e o contraditório (art. 5º, LV, CRFB) são plenamente observados no Recurso Contra a Expedição de Diploma (RCED) perante o órgão com competência originária, posto haver ampla instrução probatória e regular exercício do direito de defesa, restando as garantias constitucionais preservadas, uma vez que a instrução do feito ocorre direta e imediatamente perante o Tribunal Superior, aproximando-o, em grau incomparável, da verdade material.    10. O duplo grau de jurisdição não configura garantia prevista na Constituição da República, traduzindo escolha política do legislador, consoante diversos precedentes desta Corte: HC 140213 AgR, Relator(a): Min. LUIZ FUX, Primeira Turma, julgado em 02/06/2017; RE 976178 AgR, Relator(a): Min. DIAS TOFFOLI, Segunda Turma, julgado em 09/12/2016; RHC 79785, Relator(a): Min. SEPÚLVEDA PERTENCE, Tribunal Pleno, julgado em 29/03/2000, DJ 22-11-2002 PP-00057 EMENT VOL-02092-02 PP-00280 RTJ VOL-00183-03 PP-01010. Direito Comparado.    11. A observância dos precedentes quase decenários, compreendidos na análise econômica do Direito como um estoque de capital, constitui componente fundamental de uma ordem jurídica funcional, máxime porque facilita a aplicação e operação do direito pelos magistrados e jurisdicionados, bem como norteia a atuação de todos os membros da sociedade, conferindo a necessária segurança jurídica.    12. A Arguição de Descumprimento de Preceito Fundamental é cabível para impugnação orientação jurisprudencial apontada como contrária a normas basilares da Constituição, desde que cumprido o requisito da subsidiariedade, ante a inexistência de outro meio processual para sanar a controvérsia com caráter abrangente e imediato. Precedentes do Plenário: ADPF 33, Relator(a): Min. GILMAR MENDES, Tribunal Pleno, julgado em 07/12/2005; ADPF 144, Relator(a): Min. CELSO DE MELLO, Tribunal Pleno, julgado em 06/08/2008; ADPF 54, Relator(a): Min. MARCO AURÉLIO, Tribunal Pleno, julgado em 12/04/2012; ADPF 187, Relator(a): Min. CELSO DE MELLO, Tribunal Pleno, julgado em 15/06/2011.    13. A admissibilidade da Arguição de Descumprimento de Preceito Fundamental resta presente quando apontados como preceitos fundamentais violados, de forma direta, direitos e garantias fundamentais insculpidos no art. 5º da Constituição. Precedentes: ADPF 388, Relator(a): Min. GILMAR MENDES, Tribunal Pleno, julgado em 09/03/2016; ADPF 187, Relator(a): Min. CELSO DE MELLO, Tribunal Pleno, julgado em 15/06/2011; ADPF 130, Relator(a): Min. CARLOS BRITTO, Tribunal Pleno, julgado em 30/04/2009.    14. O vício quanto aos poderes conferidos na procuração para ajuizamento da ADPF (art. 3º, parágrafo único, da Lei nº 9.882/99) é passível de regularização durante o processo, mercê de o espírito instrumentalista do novo Código de Processo Civil exigir o melhor aproveitamento possível dos atos processuais, evitando-se que formalidades estéreis embaracem a marcha do feito. Precedentes: ADPF 4 MC, Relator(a): Min. ELLEN GRACIE, Tribunal Pleno, julgado em 02/08/2006.    15. Arguição de Descumprimento de Preceito Fundamental improcedente. Tese fixada nos seguintes termos: O Tribunal Superior Eleitoral é o órgão competente para julgar os recursos contra a expedição de diploma nas eleições presidenciais e gerais (federais e estaduais).","eleicao"
"9","ADPF 1013 MC-ED-Ref","ROBERTO BARROSO","28/11/2022","20/10/2022","Tribunal Pleno","Ementa: Direito constitucional. Embargos de declaração em Medida Cautelar em Arguição de descumprimento de preceito fundamental. Referendo de decisão. Oferta de transporte público urbano coletivo de passageiro no dia das eleições. Embargos providos para prestar esclarecimentos.    I. A hipótese    1. Embargos de declaração opostos em face de decisão que deferiu parcialmente pedido cautelar em ADPF para: (i) determinar ao Poder Público que mantenha o serviço de transporte público urbano coletivo de passageiros em níveis normais, sem redução específica no domingo das eleições; e (ii) vedar aos Municípios que já ofereciam o serviço de transporte público urbano coletivo de passageiros gratuitamente, seja pelo domingo, seja pelo dia das eleições, que deixem de fazê-lo. Recomendou-se, ainda, que os Municípios que tivessem condições ofertassem o transporte público.    2. Embargos de declaração com aporte de novas informações e reiteração do pedido de que o poder público municipal ofereça transporte público gratuito no dia 30 de outubro de 2022. Alega-se que o índice recorde de abstenção verificado no 1º turno das Eleições estaria associado à crise econômica e à pobreza, que produzem um impacto desproporcional sobre o voto de grupos vulneráveis. Subsidiariamente, pede-se o esclarecimento da decisão para afirmar que a concessão de gratuidade de transporte público pelos municípios não constitui ato de improbidade nem crime eleitoral. Em petição complementar, requer-se seja autorizada, também, a utilização de ônibus escolares e outros veículos públicos para a mesma finalidade.    II. Mérito    3. A decisão embargada afirmou que, à vista da ausência de estimativa de custo e da proximidade do pleito, não seria razoável impor a execução obrigatória e universal da oferta de transporte público gratuito no dia das eleições, por todos os municípios do país, sem lei e sem prévia previsão orçamentária. Nada obstante isso, consignou-se expressamente que seria altamente recomendável que todos os municípios que tivessem condições de adotar tal medida o fizessem prontamente.    4. Portanto, os municípios estão autorizados a conceder, no limite de suas condições orçamentárias, gratuidade para uso de transporte público coletivo urbano nos dias de eleição, para todos os eleitores, em caráter geral e impessoal. Também fica permitida, para o mesmo fim, a utilização de ônibus escolares e outros veículos públicos. As medidas aqui autorizadas encontram fundamento constitucional na garantia do direito-dever de voto “com valor igual para todos” (art. 14). Da dimensão objetiva do direito fundamental ao sufrágio decorrem deveres de proteção que dão amparo às decisões dos entes públicos de disponibilizar transporte gratuito aos eleitores, inclusive com linhas especiais para regiões mais distantes dos locais de votação, não se podendo alegar, nessa hipótese, a configuração de ato de improbidade administrativa, crime eleitoral ou outra infração à lei.    5. É relevante destacar que, segundo estudo da FGV, em 2021, um em cada três brasileiros vivia na pobreza, com menos de R$ 497,00 de renda domiciliar per capita mensal. São 62,9 milhões de brasileiros nessa situação, com 9,6 milhões de novos pobres surgidos ao longo da pandemia, o que representa o maior índice de pobreza no país desde o início da série histórica da pesquisa, em 2012. Levando-se em conta a extrema desigualdade social no país, o atual contexto de empobrecimento pós-pandemia e a obrigatoriedade do voto no Brasil, justifica-se que o Poder Público arque com os custos de transporte decorrentes do exercício desse direito-dever.    6. Considerando-se, ainda, que o transporte público para os locais de votação é mais caro que a multa pelo não comparecimento, a ausência de política pública de concessão de transporte gratuito no dia do pleito tem potencial para criar, na prática, um novo tipo de voto censitário, que retira dos mais pobres a possibilidade de participar do processo eleitoral. É possível reconhecer, nesse cenário, uma verdadeira omissão inconstitucional por parte do legislador, que não se desincumbiu, até o momento, do dever de editar lei sobre o tema, prevendo, inclusive, seu modo de custeio – na linha do que faz o relevante projeto de lei de autoria do Presidente da Câmara dos Deputados, deputado federal Arthur Lira (PL nº 1.751/2011).    7. Embora não seja recomendável, em sede cautelar, expedir decisão aditiva para suprir tal omissão, devem-se, entretanto, reduzir os seus impactos negativos sobre o exercício do direito de voto. Como consequência, fica reconhecido que os Municípios podem, sem incorrer em qualquer forma de ilícito administrativo, civil, penal ou eleitoral, promover política pública de transporte gratuito no dia das eleições, em caráter geral e sem qualquer discriminação, como forma de garantir as condições materiais necessárias para o pleno exercício do sufrágio ativo por parte de todos os cidadãos. Nesse caso, as empresas concessionárias ou permissionárias de transporte público municipal deverão atuar colaborativamente para garantir a efetividade da medida.    8. Da mesma forma, considerando que a ordem econômica, fundada na livre iniciativa, tem por fim assegurar a todos existência digna (art. 170, caput) e deve contribuir, dentro das suas possibilidades, para a redução das desigualdades sociais (art. 170, VII), as concessionárias ou permissionárias de transporte público urbano coletivo podem voluntariamente oferecer o serviço de forma gratuita, sem que tal decisão configure crime eleitoral ou infração de qualquer espécie.    9. Sem prejuízo da eficácia imediata deste provimento judicial, a autorização concedida aos Municípios e à iniciativa privada poderá ser objeto de regulamentação específica pelo TSE, tanto para elevar a segurança jurídica dos gestores públicos e responsáveis, como para coibir o abuso dos poderes político e econômico.    10. Por fim, tal como afirmado na decisão embargada, é exigível dos gestores de serviços de transporte público de passageiros que mantenham o seu funcionamento em níveis normais, na quantidade e frequência necessárias ao deslocamento dos eleitores de suas residências até as seções eleitorais. O descumprimento de tal determinação é injustificável e poderá importar em crime de responsabilidade (art. 1º, XIV, Decreto-Lei nº 201/1967).    III. Dispositivo    11. Referendo da decisão que deu provimento aos embargos para esclarecer que, nos termos da medida cautelar parcialmente deferida, fica o Poder Público municipal autorizado a determinar (e as concessionárias ou permissionárias do serviço público a promover) a disponibilização gratuita do serviço de transporte público urbano coletivo de passageiros em dias de realização de eleições. A autorização inclui a utilização, para os mesmos fins, de ônibus escolares e outros veículos públicos. Poderá o TSE regulamentar a matéria, se entender necessário.    12. Ficam ratificados os termos da medida cautelar concedida, de modo a (i) determinar ao Poder Público que mantenha o serviço de transporte público urbano coletivo de passageiros em níveis normais, sem redução específica no domingo das eleições, sob pena de crime de responsabilidade; e (ii) vedar aos Municípios que já ofereciam o serviço de transporte público urbano coletivo de passageiros gratuitamente, seja pelo domingo, seja pelo dia das eleições, que deixem de fazê-lo.","eleicao"
"10","RMS 32368 AgR","ROBERTO BARROSO","26/08/2016","09/08/2016","Primeira Turma","Ementa: DIREITO ELEITORAL. AGRAVO REGIMENTAL EM MANDADO DE SEGURANÇA. ELEIÇÕES MUNICIPAIS. NULIDADE.    1. Na forma do art. 175, § 3º, c/c art. 224 do Código Eleitoral, é necessária a convocação de novas eleições caso mais da metade do eleitorado tenha votado em candidato cujo registro veio a ser indeferido. Tais normas são compatíveis com o art. 77, § 2º, da Constituição de 1988. Precedente: RMS 23.234, Rel. Min. Sepúlveda Pertence.    2. Agravo regimental a que se nega provimento.","eleicao"
